type,x,y
hospital,-0.26761192,51.53156765
hospital,-0.345295039,51.50748103
hospital,-0.379312213,51.51111697
hospital,-0.347876591,51.5067945
hospital,-0.297174151,51.52114757
house,-0.280557785,51.53471019
house,-0.282151389,51.5328296
house,-0.281944625,51.53390418
house,-0.283666195,51.53197168
house,-0.282110181,51.53345759
house,-0.282451458,51.534596
house,-0.282068798,51.53308224
house,-0.282058075,51.53421509
house,-0.280960762,51.53268176
house,-0.280919815,51.53315011
house,-0.279660023,51.53446196
house,-0.281965062,51.53475069
house,-0.280993149,51.53421794
house,-0.280258607,51.53454815
house,-0.280710125,51.53460114
house,-0.281784104,51.53376204
house,-0.283485509,51.53616223
house,-0.281765454,51.5350066
house,-0.283471126,51.53598905
house,-0.284065184,51.5319147
house,-0.283174454,51.53316609
house,-0.282229414,51.53422472
house,-0.282573016,51.53562559
house,-0.28384486,51.53583466
house,-0.284823959,51.53284752
house,-0.283577935,51.53192838
house,-0.283267997,51.53204888
house,-0.283381376,51.53522641
house,-0.280087969,51.53396149
house,-0.284641918,51.53270734
house,-0.283457862,51.53716837
house,-0.2834481,51.53251171
house,-0.283160378,51.53497354
house,-0.279555629,51.53362247
house,-0.282143902,51.53517185
house,-0.282976323,51.53561768
house,-0.279161985,51.53455702
house,-0.282773071,51.53280077
house,-0.281470669,51.53318097
house,-0.284417581,51.53264078
house,-0.279322999,51.53435946
house,-0.284320891,51.53277738
house,-0.280257415,51.53364124
house,-0.28016834,51.53391015
house,-0.284643271,51.53251938
house,-0.280044382,51.53448672
house,-0.284125697,51.53271919
house,-0.281393764,51.53255746
house,-0.283567896,51.5320817
house,-0.282285706,51.53390691
house,-0.284119867,51.53630196
house,-0.28367034,51.53291124
house,-0.284285587,51.53252897
house,-0.279472816,51.53438226
house,-0.285061059,51.53252487
house,-0.279373413,51.53369281
house,-0.281674812,51.53490272
house,-0.282534304,51.53278829
house,-0.281997841,51.53527019
house,-0.283199557,51.53532302
house,-0.283924479,51.53618531
house,-0.282217664,51.53528181
house,-0.281725734,51.53487562
house,-0.281517816,51.53304668
house,-0.282929644,51.53450406
house,-0.283274613,51.53619893
house,-0.282538279,51.53560273
house,-0.281434209,51.53560351
house,-0.283494674,51.53249602
house,-0.281780315,51.53416529
house,-0.281069891,51.53456772
house,-0.281967804,51.53462106
house,-0.283396881,51.53218574
house,-0.282534035,51.53477667
house,-0.282643779,51.5327284
house,-0.279124231,51.53406682
house,-0.281847024,51.53428884
house,-0.282973305,51.53352734
house,-0.280612182,51.53409579
house,-0.28250271,51.53417511
house,-0.281680152,51.53294038
house,-0.280568304,51.53342078
house,-0.281420012,51.53376743
house,-0.285158854,51.53287218
house,-0.282471378,51.53571641
house,-0.283531279,51.5334363
house,-0.283144008,51.53614434
house,-0.280796579,51.53314164
house,-0.28141863,51.53530223
house,-0.282319373,51.53271304
house,-0.283015002,51.53542141
house,-0.282648659,51.53333124
house,-0.280687565,51.53278144
house,-0.283558905,51.53136887
house,-0.281082829,51.5346958
house,-0.282656069,51.53528321
house,-0.279674825,51.5346598
house,-0.28012578,51.53383458
house,-0.283515243,51.53698138
house,-0.281752734,51.53453086
house,-0.281853301,51.53475626
house,-0.280169481,51.53409136
house,-0.283378171,51.5328347
house,-0.282999275,51.53297562
house,-0.283062,51.53646806
house,-0.282838725,51.5329546
house,-0.283522442,51.53581338
house,-0.285329471,51.53239311
house,-0.282318825,51.53429283
house,-0.28331039,51.53338268
house,-0.280639628,51.53339579
house,-0.283374178,51.53177191
house,-0.28218614,51.53489048
house,-0.281148515,51.53318905
house,-0.282756593,51.53549829
house,-0.280334131,51.53447014
house,-0.283219854,51.53216818
house,-0.279811469,51.53453428
house,-0.279382583,51.53313322
house,-0.282148503,51.53297598
house,-0.282844481,51.53588306
house,-0.283240941,51.53314661
house,-0.280207766,51.53307914
house,-0.282798053,51.53471927
house,-0.28357824,51.53123003
house,-0.283188858,51.5349909
house,-0.28184692,51.53513167
house,-0.283748209,51.53615875
house,-0.282643,51.53266519
house,-0.283898656,51.53592505
house,-0.28096359,51.53418597
house,-0.285218528,51.53239925
house,-0.282030627,51.53308561
house,-0.282253347,51.53340162
